id,address,name,construction,demolition,architect,notes,target1904,scope,occupancy1904,geometry_status,confidence,source_ids,built_year,demolished_year,status_1904,events,directory_candidates,excluded_1904,measurements
pa-1936-11,1936 S. Prairie Avenue,Daniel M. Thompson / Samuel W. Allerton residence,1870,1915,Lavall B. Dixon,"Allerton ownership from 1879; Hump Hairpin factory replaced house. | 1904 Blue Book candidate: S. W. Allerton household; Robert H. Allerton. OCR-derived, selected names only; page verification pending.",inferred present,core,,unmeasured; footprint and heights require map/plan reconciliation,source-backed identification; 1904 existence inferred from lifespan unless otherwise stated,"[""B-marker_west"", ""civic-bluebook-1904""]",1870,1915,inferred present,"[{""type"": ""construction"", ""date_text"": ""1870"", ""source_ids"": [""B-marker_west"", ""civic-bluebook-1904""], ""confidence"": ""reported; preserve ranges/conflicts""}, {""type"": ""loss"", ""date_text"": ""1915"", ""source_ids"": [""B-marker_west"", ""civic-bluebook-1904""], ""confidence"": ""reported; preserve ranges/conflicts""}]","[{""address"": 1936, ""street"": ""Prairie Avenue"", ""year_label"": 1904, ""source_id"": ""civic-bluebook-1904"", ""source_locator"": ""printed pp.186–187; PDF pp.188–189"", ""listed_people"": ""S. W. Allerton household; Robert H. Allerton"", ""verification"": ""OCR-derived factual candidate; visual source-page check pending"", ""limits"": ""Selected names only; does not establish complete household, ownership, vacancy or building geometry.""}]",False,[]
pa-1815-12,1815 S. Prairie Avenue,Joseph Sears / Arthur Meeker residence,1882,1967,Burnham & Root,"Meeker acquired 1902; exact 1904 occupancy needs directory. | 1904 Blue Book candidate: Arthur Meeker household. OCR-derived, selected names only; page verification pending.",inferred present,core,"Arthur Meeker family, supported by 1902 acquisition but not a 1904 household roster",unmeasured; footprint and heights require map/plan reconciliation,source-backed identification; 1904 existence inferred from lifespan unless otherwise stated,"[""B-marker_east"", ""civic-bluebook-1904""]",1882,1967,inferred present,"[{""type"": ""construction"", ""date_text"": ""1882"", ""source_ids"": [""B-marker_east"", ""civic-bluebook-1904""], ""confidence"": ""reported; preserve ranges/conflicts""}, {""type"": ""loss"", ""date_text"": ""1967"", ""source_ids"": [""B-marker_east"", ""civic-bluebook-1904""], ""confidence"": ""reported; preserve ranges/conflicts""}]","[{""address"": 1815, ""street"": ""Prairie Avenue"", ""year_label"": 1904, ""source_id"": ""civic-bluebook-1904"", ""source_locator"": ""printed pp.186–187; PDF pp.188–189"", ""listed_people"": ""Arthur Meeker household"", ""verification"": ""OCR-derived factual candidate; visual source-page check pending"", ""limits"": ""Selected names only; does not establish complete household, ownership, vacancy or building geometry.""}]",False,[]
pa-1823-13,1823 S. Prairie Avenue,Thomas Dent residence,1881,1945,Burnham & Root,"Later donated to Second Presbyterian Church. | 1904 Blue Book candidate: Thomas Dent household. OCR-derived, selected names only; page verification pending.",inferred present,core,,unmeasured; footprint and heights require map/plan reconciliation,source-backed identification; 1904 existence inferred from lifespan unless otherwise stated,"[""B-marker_east"", ""civic-bluebook-1904""]",1881,1945,inferred present,"[{""type"": ""construction"", ""date_text"": ""1881"", ""source_ids"": [""B-marker_east"", ""civic-bluebook-1904""], ""confidence"": ""reported; preserve ranges/conflicts""}, {""type"": ""loss"", ""date_text"": ""1945"", ""source_ids"": [""B-marker_east"", ""civic-bluebook-1904""], ""confidence"": ""reported; preserve ranges/conflicts""}]","[{""address"": 1823, ""street"": ""Prairie Avenue"", ""year_label"": 1904, ""source_id"": ""civic-bluebook-1904"", ""source_locator"": ""printed pp.186–187; PDF pp.188–189"", ""listed_people"": ""Thomas Dent household"", ""verification"": ""OCR-derived factual candidate; visual source-page check pending"", ""limits"": ""Selected names only; does not establish complete household, ownership, vacancy or building geometry.""}]",False,[]
pa-1827-14,1827 S. Prairie Avenue,John W. Doane residence,1882,1936,Theodore V. Wadskier,La Farge glazing; verify architect spelling against signed drawings.,inferred present,core,,unmeasured; footprint and heights require map/plan reconciliation,source-backed identification; 1904 existence inferred from lifespan unless otherwise stated,"[""B-marker_east""]",1882,1936,inferred present,"[{""type"": ""construction"", ""date_text"": ""1882"", ""source_ids"": [""B-marker_east""], ""confidence"": ""reported; preserve ranges/conflicts""}, {""type"": ""loss"", ""date_text"": ""1936"", ""source_ids"": [""B-marker_east""], ""confidence"": ""reported; preserve ranges/conflicts""}]",[],False,[]
pa-1901-15,1901 S. Prairie Avenue,Osborn R. Keith / Norman B. Ream residence,1882,1929,Lavall B. Dixon; remodel Daniel Burnham,"1887 remodeling is relevant to target form. | 1904 Blue Book candidate: Norman B. Ream household. OCR-derived, selected names only; page verification pending.",inferred present,core,,unmeasured; footprint and heights require map/plan reconciliation,source-backed identification; 1904 existence inferred from lifespan unless otherwise stated,"[""B-marker_east"", ""civic-bluebook-1904""]",1882,1929,inferred present,"[{""type"": ""construction"", ""date_text"": ""1882"", ""source_ids"": [""B-marker_east"", ""civic-bluebook-1904""], ""confidence"": ""reported; preserve ranges/conflicts""}, {""type"": ""loss"", ""date_text"": ""1929"", ""source_ids"": [""B-marker_east"", ""civic-bluebook-1904""], ""confidence"": ""reported; preserve ranges/conflicts""}]","[{""address"": 1901, ""street"": ""Prairie Avenue"", ""year_label"": 1904, ""source_id"": ""civic-bluebook-1904"", ""source_locator"": ""printed pp.186–187; PDF pp.188–189"", ""listed_people"": ""Norman B. Ream household"", ""verification"": ""OCR-derived factual candidate; visual source-page check pending"", ""limits"": ""Selected names only; does not establish complete household, ownership, vacancy or building geometry.""}]",False,[]
pa-1905-16,1905 S. Prairie Avenue,Marshall Field Sr. residence,1871–1873,1955,Richard Morris Hunt,"New Bauhaus and aeronautical school were later uses. | 1904 Blue Book candidate: Marshall Field. OCR-derived, selected names only; page verification pending.",inferred present,core,,unmeasured; footprint and heights require map/plan reconciliation,source-backed identification; 1904 existence inferred from lifespan unless otherwise stated,"[""B-marker_east"", ""civic-bluebook-1904""]",,1955,inferred present,"[{""type"": ""construction"", ""date_text"": ""1871–1873"", ""source_ids"": [""B-marker_east"", ""civic-bluebook-1904""], ""confidence"": ""reported; preserve ranges/conflicts""}, {""type"": ""loss"", ""date_text"": ""1955"", ""source_ids"": [""B-marker_east"", ""civic-bluebook-1904""], ""confidence"": ""reported; preserve ranges/conflicts""}]","[{""address"": 1905, ""street"": ""Prairie Avenue"", ""year_label"": 1904, ""source_id"": ""civic-bluebook-1904"", ""source_locator"": ""printed pp.186–187; PDF pp.188–189"", ""listed_people"": ""Marshall Field"", ""verification"": ""OCR-derived factual candidate; visual source-page check pending"", ""limits"": ""Selected names only; does not establish complete household, ownership, vacancy or building geometry.""}]",False,[]
pa-2009-17,2009 S. Prairie Avenue,Max A. Mayer residence,1888,1955,Burnham & Root,"Marker heading spells Meyer; text spells Mayer; retain name ambiguity. | 1904 Blue Book candidate: M. A. Meyer household; E. F. Meyer; Albert Meyer; Carl Meyer; Abraham Meyer. OCR-derived, selected names only; page verification pending.",inferred present,core,,unmeasured; footprint and heights require map/plan reconciliation,source-backed identification; 1904 existence inferred from lifespan unless otherwise stated,"[""B-marker_south"", ""civic-bluebook-1904""]",1888,1955,inferred present,"[{""type"": ""construction"", ""date_text"": ""1888"", ""source_ids"": [""B-marker_south"", ""civic-bluebook-1904""], ""confidence"": ""reported; preserve ranges/conflicts""}, {""type"": ""loss"", ""date_text"": ""1955"", ""source_ids"": [""B-marker_south"", ""civic-bluebook-1904""], ""confidence"": ""reported; preserve ranges/conflicts""}]","[{""address"": 2009, ""street"": ""Prairie Avenue"", ""year_label"": 1904, ""source_id"": ""civic-bluebook-1904"", ""source_locator"": ""printed pp.186–187; PDF pp.188–189"", ""listed_people"": ""M. A. Meyer household; E. F. Meyer; Albert Meyer; Carl Meyer; Abraham Meyer"", ""verification"": ""OCR-derived factual candidate; visual source-page check pending"", ""limits"": ""Selected names only; does not establish complete household, ownership, vacancy or building geometry.""}]",False,[]
pa-2100-18,2100 S. Prairie Avenue,John B. Sherman residence,1874,1936,Burnham & Root,,inferred present,core,,unmeasured; footprint and heights require map/plan reconciliation,source-backed identification; 1904 existence inferred from lifespan unless otherwise stated,"[""B-marker_south""]",1874,1936,inferred present,"[{""type"": ""construction"", ""date_text"": ""1874"", ""source_ids"": [""B-marker_south""], ""confidence"": ""reported; preserve ranges/conflicts""}, {""type"": ""loss"", ""date_text"": ""1936"", ""source_ids"": [""B-marker_south""], ""confidence"": ""reported; preserve ranges/conflicts""}]",[],False,[]
pa-2115-19,2115 S. Prairie Avenue,David Kelley / Philip D. Armour residence,1871,1937,,"Armour widow remained through 1927; do not label deceased Philip as 1904 occupant. | 1904 Blue Book candidate: Mrs. Philip D. Armour. OCR-derived, selected names only; page verification pending.",inferred present,core,,unmeasured; footprint and heights require map/plan reconciliation,source-backed identification; 1904 existence inferred from lifespan unless otherwise stated,"[""B-marker_south"", ""civic-bluebook-1904""]",1871,1937,inferred present,"[{""type"": ""construction"", ""date_text"": ""1871"", ""source_ids"": [""B-marker_south"", ""civic-bluebook-1904""], ""confidence"": ""reported; preserve ranges/conflicts""}, {""type"": ""loss"", ""date_text"": ""1937"", ""source_ids"": [""B-marker_south"", ""civic-bluebook-1904""], ""confidence"": ""reported; preserve ranges/conflicts""}]","[{""address"": 2115, ""street"": ""Prairie Avenue"", ""year_label"": 1904, ""source_id"": ""civic-bluebook-1904"", ""source_locator"": ""printed pp.186–187; PDF pp.188–189"", ""listed_people"": ""Mrs. Philip D. Armour"", ""verification"": ""OCR-derived factual candidate; visual source-page check pending"", ""limits"": ""Selected names only; does not establish complete household, ownership, vacancy or building geometry.""}]",False,[]
pa-2126-20,2126 S. Prairie Avenue,Edward F. Robbins residence,1904 (marker); other accounts say 1905,2002,"Mann, MacNeill & Lindeberg","Target-year construction event: no exact completion/occupancy date established. Red brick, white marble; publishing offices later. | 1904 Blue Book candidate: Edward F. Robbins household. OCR-derived, selected names only; page verification pending.",construction during target year; month unresolved,core,,unmeasured; footprint and heights require map/plan reconciliation,source-backed identification; 1904 existence inferred from lifespan unless otherwise stated,"[""B-marker_south"", ""civic-bluebook-1904""]",,2002,construction during target year; month unresolved,"[{""type"": ""construction"", ""date_text"": ""1904 (marker); other accounts say 1905"", ""source_ids"": [""B-marker_south"", ""civic-bluebook-1904""], ""confidence"": ""reported; preserve ranges/conflicts""}, {""type"": ""loss"", ""date_text"": ""2002"", ""source_ids"": [""B-marker_south"", ""civic-bluebook-1904""], ""confidence"": ""reported; preserve ranges/conflicts""}]","[{""address"": 2126, ""street"": ""Prairie Avenue"", ""year_label"": 1904, ""source_id"": ""civic-bluebook-1904"", ""source_locator"": ""printed pp.186–187; PDF pp.188–189"", ""listed_people"": ""Edward F. Robbins household"", ""verification"": ""OCR-derived factual candidate; visual source-page check pending"", ""limits"": ""Selected names only; does not establish complete household, ownership, vacancy or building geometry.""}]",False,[]
pa-2140-21,2140 S. Prairie Avenue,William F. Tucker / Byron L. Smith residence,1876,1936,John M. Van Osdel,"Smith acquired 1881; dining room salvaged to Northern Trust. | 1904 Blue Book candidate: Byron L. Smith household; Walter B. Smith; Harold C. Smith; Bruce D. Smith. OCR-derived, selected names only; page verification pending.",inferred present,core,,unmeasured; footprint and heights require map/plan reconciliation,source-backed identification; 1904 existence inferred from lifespan unless otherwise stated,"[""B-marker_south"", ""civic-bluebook-1904""]",1876,1936,inferred present,"[{""type"": ""construction"", ""date_text"": ""1876"", ""source_ids"": [""B-marker_south"", ""civic-bluebook-1904""], ""confidence"": ""reported; preserve ranges/conflicts""}, {""type"": ""loss"", ""date_text"": ""1936"", ""source_ids"": [""B-marker_south"", ""civic-bluebook-1904""], ""confidence"": ""reported; preserve ranges/conflicts""}]","[{""address"": 2140, ""street"": ""Prairie Avenue"", ""year_label"": 1904, ""source_id"": ""civic-bluebook-1904"", ""source_locator"": ""printed pp.186–187; PDF pp.188–189"", ""listed_people"": ""Byron L. Smith household; Walter B. Smith; Harold C. Smith; Bruce D. Smith"", ""verification"": ""OCR-derived factual candidate; visual source-page check pending"", ""limits"": ""Selected names only; does not establish complete household, ownership, vacancy or building geometry.""}]",False,[]
